TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished,Trajectory
4,1737904745,43.0785387,-76.1749925,4,129.8841836,7,1,-1
6,1458493498,43.0363619,-76.1331059,4,129.3886963,1,1,-1
8,1458493498,43.0361611,-76.1327592,4,129.7055849,1,1,-1
10,1737904745,43.077658,-76.1744311,4,128.6447167,7,1,-1
11,1458493498,43.0358589,-76.1322403,4,130.1775003,1,1,-1
12,234184799,43.0370689,-76.131084,4,128.9936601,1,1,-1
13,757675095,43.0771755,-76.1767256,4,128.5943148,7,1,-1
14,60575480,43.0506471,-76.2437099,4,138.0385499,9,1,-1
14,757675095,43.0770726,-76.1765549,4,128.3977326,7,1,-1
15,234184799,43.036734,-76.1306037,4,129.5685343,1,1,-1
16,757675095,43.0768667,-76.1762136,4,127.9984226,7,1,-1
17,757675095,43.0767637,-76.176043,4,127.7956929,7,1,-1
18,1737904745,43.0764827,-76.1736855,4,126.8002129,7,1,-1
18,234184799,43.036398,-76.1301249,4,130.1251275,1,1,-1
19,1737904745,43.0763357,-76.1735925,4,126.5518394,7,1,-1
20,234184799,43.0361733,-76.1298066,4,999,-1,1,-1
21,757675095,43.0763512,-76.1753611,4,126.9644569,7,1,-1
21,1708706542,43.0286337,-76.0377421,4,999,-1,1,-1
22,60575480,43.0500978,-76.242109,4,137.583372,9,1,-1
22,1458493498,43.03474,-76.1303491,4,131.8545934,1,1,-1
23,1458493498,43.0346374,-76.1301781,4,132.0020242,1,1,-1
24,1737904745,43.0756004,-76.1731286,4,125.2416608,7,1,-1
24,757675095,43.0760413,-76.1748502,4,126.3203124,7,1,-1
25,757675095,43.075938,-76.17468,4,126.1018562,7,1,-1
25,1458493498,43.0344318,-76.1298367,4,132.2941184,1,1,-1
26,1708706542,43.0285285,-76.038837,4,999,-1,1,-1
26,72524579,43.0373311,-76.1331645,4,128.0212939,1,1,-1
27,1708706542,43.0285074,-76.039056,4,999,-1,1,-1
28,72524579,43.0370083,-76.1331257,4,128.4786031,1,1,-1
28,234184799,43.0352692,-76.1285404,4,131.856147,1,1,-1
29,1737904745,43.0748647,-76.1726659,4,123.803842,7,1,-1
29,234184799,43.0351555,-76.128383,4,132.0193744,1,1,-1
30,1458493498,43.0339152,-76.128986,4,133.007807,1,1,-1
30,1708706542,43.0284442,-76.0397129,4,999,-1,1,-1
31,234184799,43.0349278,-76.1280687,4,132.3407798,1,1,-1
31,1707145787,43.083137,-76.1771162,4,134.856991,7,1,-1
32,1947862555,43.0378224,-76.134115,4,127.1130215,1,1,-1
32,757675095,43.0752132,-76.17349,4,124.5282368,7,1,-1
33,1707145787,43.0828519,-76.176906,4,134.585738,7,1,-1
33,757675095,43.0751095,-76.1733201,4,124.298536,7,1,-1
34,757675095,43.0750058,-76.1731504,4,124.0681112,7,1,-1
34,1707145787,43.0827094,-76.176801,4,134.4481008,7,1,-1
34,234184799,43.0345852,-76.1275987,4,999,-1,1,-1
35,72524579,43.0358784,-76.1329907,4,129.9648941,1,1,-1
35,1458493498,43.0333946,-76.1281398,4,133.6974265,1,1,-1
36,1737904745,43.0738339,-76.1720206,4,121.5361714,7,1,-1
36,1707145787,43.0824242,-76.1765911,4,134.1686808,7,1,-1
37,60575480,43.0490633,-76.2391103,4,136.8280834,9,1,-1
37,1947862555,43.0370123,-76.1341336,4,128.2991412,1,1,-1
38,1458493498,43.0330804,-76.1276344,4,134.0996247,1,1,-1
38,72524579,43.0353942,-76.1329334,4,130.5539163,1,1,-1
38,1947862555,43.0368503,-76.1341374,4,128.5242237,1,1,-1
39,1707145787,43.0819962,-76.1762767,4,133.7387958,7,1,-1
39,757675095,43.0744864,-76.1723023,4,122.9139105,7,1,-1
40,1947862555,43.0365263,-76.1341448,4,128.9632894,1,1,-1
