TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished
10,288496331,43.0376564,-76.1344862,2,125.3387321,6,1
20,1421881662,43.0802487,-76.1831727,2,131.4081993,4,1
30,2049631195,43.0755166,-76.1785465,2,123.8301402,4,1
30,1616722272,43.0377054,-76.1266599,2,127.6633852,6,1
40,288496331,43.0376564,-76.1411126,2,125.9484709,6,1
40,2049631195,43.0755166,-76.1763363,2,122.507239,4,1
50,737781054,43.0382604,-76.1270869,2,125.8872307,6,1
50,288496331,43.0376564,-76.1433215,2,127.0183296,6,1
60,1323522851,43.0264697,-76.0381311,2,134.6153916,1,1
60,585502488,43.0767388,-76.1866903,2,130.6534425,4,1
60,1616722272,43.0370573,-76.1211378,2,131.8039422,6,1
70,772591671,43.0380041,-76.133906,2,125.2745506,6,1
70,1584689357,43.037316,-76.1259306,2,128.6432646,6,1
70,288496331,43.0376563,-76.1477391,2,129.7841646,6,1
70,890606833,43.0793925,-76.1676392,2,128.0979394,4,1
80,416634221,43.0499571,-76.2271465,2,129.0588537,5,1
80,2049631195,43.0755165,-76.1674955,2,122.507239,4,1
80,994948521,43.0375596,-76.1211522,2,131.2261163,6,1
80,1421881662,43.0802486,-76.1699106,2,129.0227127,4,1
90,2036232036,43.0505365,-76.2323782,2,128.6928511,5,1
90,737781054,43.0335616,-76.124878,2,132.4780796,6,1
90,1584689357,43.037316,-76.121513,2,131.1546133,6,1
90,2128945693,43.0821986,-76.1609313,2,129.8635744,4,1
90,1421881662,43.0802486,-76.1677002,2,129.1905197,4,1
100,949915704,43.0372873,-76.12999,2,131.3037968,9,1
100,2128945693,43.0821986,-76.1587209,2,131.1546133,4,1
100,288496331,43.0376563,-76.1543656,2,133.9301418,6,1
100,1421881662,43.0802486,-76.1654899,2,129.7042679,4,1
100,132991247,43.036937,-76.1282886,2,127.6097133,6,1
110,949915704,43.0372873,-76.1277811,2,128.0979394,6,1
110,994948521,43.0375595,-76.1145257,2,135.168912,6,1
110,1421881662,43.0802486,-76.1632795,2,130.4712181,4,1
110,772591671,43.0380041,-76.1427414,2,126.4430117,6,1
110,890606833,43.0793925,-76.1587979,2,131.8039422,4,1
120,949915704,43.0372873,-76.1255723,2,129.2380702,6,1
120,585502488,43.0679895,-76.1877954,2,129.1905197,4,1
120,772591671,43.0380041,-76.1449502,2,127.6633852,6,1
120,994948521,43.0375595,-76.1123169,2,136.0562626,7,1
120,288496331,43.0376563,-76.1587833,2,136.327634,6,1
120,2036232036,43.0505364,-76.2257503,2,128.0979394,5,1
130,1431700245,43.0382162,-76.1281955,2,125.1776815,6,1
130,416634221,43.0499571,-76.2161002,2,130.9273004,5,1
130,2053287062,43.0765056,-76.1748384,2,123.8301402,4,1
130,1421881662,43.0802486,-76.1588588,2,132.4502897,4,1
130,890606833,43.0793925,-76.1543772,2,134.1598754,4,1
130,585502488,43.0663692,-76.1877954,2,129.0227127,4,1
140,473993455,43.0402389,-76.0563044,2,96.64727528,1,1
140,949915704,43.0372873,-76.1211547,2,131.8039422,6,1
140,994948521,43.0375595,-76.1078992,2,134.9870056,7,1
140,890606833,43.0793925,-76.1521669,2,133.3720402,3,1
140,1507836548,43.0465933,-76.2365941,2,134.2166813,5,1
140,2128945693,43.0821986,-76.1498792,2,131.5381389,3,1
140,737781054,43.0254603,-76.124878,2,134.1598754,9,1
150,465141599,43.0757638,-76.1678001,2,122.1237135,4,1
150,585502488,43.0631287,-76.1877954,2,129.7042679,4,1
150,2115142947,43.0301996,-76.0525253,2,125.3387321,1,1
150,523396853,43.0830848,-76.1639354,2,127.0183296,4,1
150,1431700245,43.0382162,-76.1237778,2,128.2524333,6,1
150,1012225358,43.0382502,-76.1304894,2,131.7609958,7,1
150,1507836548,43.0465933,-76.2343849,2,133.620216,5,1
160,737781054,43.0222198,-76.124878,2,132.4780796,9,1
160,2053287062,43.0765056,-76.1682077,2,123.8301402,4,1
160,1421881662,43.0802486,-76.1522277,2,133.620216,3,1
160,1012225358,43.0382502,-76.1282806,2,131.0570671,7,1
160,1507836548,43.0465933,-76.2321758,2,133.163017,5,1
160,288496331,43.0400867,-76.1636427,2,138.4457548,6,1
160,949915704,43.0372873,-76.1167371,2,134.3215255,6,1
160,1788412196,43.0796581,-76.1751559,2,129.0588537,4,1
170,473993455,43.0402389,-76.0629312,2,120.1596198,1,1
170,1012225358,43.0382502,-76.1260717,2,130.3382563,7,1
170,851561491,43.0379456,-76.143243,2,127.0183296,6,1
170,973785263,43.0379751,-76.1255107,2,128.3544208,6,1
170,1616722272,43.0192344,-76.1211378,2,127.1999678,9,1
170,658706793,43.0318807,-76.0409724,2,128.3544208,1,1
170,2049631195,43.0755165,-76.1476038,2,129.0588537,3,1
170,2128945693,43.0821986,-76.1432479,2,125.1776815,3,1
170,416634221,43.0499571,-76.2072631,2,135.1463121,5,1
180,585502488,43.058268,-76.1877954,2,132.4502897,4,1
180,416634221,43.0499571,-76.2050538,2,136.1891753,5,1
