TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished
10,1930177697,43.0369314,-76.132291,1,126.7050529,6,1
20,224296313,43.0819922,-76.1847624,1,131.1546133,4,1
30,1930177697,43.0369314,-76.1367086,1,126.7050529,6,1
40,443686144,43.0382688,-76.1318591,1,123.8301402,6,1
40,379177510,43.0772479,-76.1839593,1,129.7841646,4,1
50,829744799,43.0371365,-76.1226005,1,131.1546133,6,1
50,443686144,43.0382688,-76.1296502,1,124.5808366,6,1
60,379177510,43.0772479,-76.1883798,1,132.616147,4,1
60,540379719,43.0809452,-76.1767044,1,129.4148549,4,1
60,682702359,43.0462257,-76.2578664,1,164.527135,-1,1
60,370062934,43.0373392,-76.1293283,1,127.1999678,6,1
70,379177510,43.0765998,-76.1894849,1,132.8700224,4,1
70,370062934,43.0373392,-76.1271195,1,128.0979394,6,1
70,540379719,43.0809452,-76.174494,1,129.0588537,4,1
80,379177510,43.0749795,-76.1894849,1,132.121617,4,1
80,1889602271,43.0331264,-76.1353841,1,132.0357438,6,1
80,1623172271,43.0792778,-76.1848565,1,131.8039422,4,1
80,769093765,43.0476281,-76.1348584,1,107.1158817,6,1
80,370062934,43.0373392,-76.1249107,1,129.2380702,6,1
90,1930177697,43.028182,-76.137813,1,136.3138541,6,1
90,443686144,43.0382688,-76.1208148,1,130.6534425,6,1
90,572630044,43.078359,-76.1780987,1,127.6097133,4,1
90,224296313,43.0706505,-76.1847624,1,126.7050529,4,1
100,1623172271,43.0792778,-76.1892771,1,134.1598754,4,1
100,379177510,43.071739,-76.1894849,1,131.1546133,4,1
100,1034505184,43.041147,-76.1329825,1,117.6163754,6,1
100,624147607,43.0353873,-76.1322095,1,155.0178965,-1,1
100,682702359,43.0462257,-76.2490299,1,138.8378024,5,1
110,224296313,43.06741,-76.1847624,1,126.7050529,4,1
110,829744799,43.027415,-76.1226005,1,133.577763,9,1
110,682702359,43.0462257,-76.2468207,1,138.0716956,5,1
110,443686144,43.0382688,-76.1163971,1,133.5607429,6,1
110,769093765,43.0524889,-76.1348584,1,118.5653608,6,1
110,1623172271,43.0792778,-76.1914874,1,135.2887871,4,1
120,1300600599,43.0409565,-76.1348182,1,154.6062587,-1,1
120,973356540,43.0750263,-76.1724394,1,158.3556906,-1,1
120,951385586,43.0803738,-76.1748409,1,129.0588537,4,1
120,1930177697,43.0233212,-76.137813,1,139.2183968,9,1
120,624147607,43.0321468,-76.1322095,1,132.7889578,6,1
130,624147607,43.0305265,-76.1322095,1,134.3215255,6,1
130,1781424611,43.0510549,-76.2430494,1,134.1598754,5,1
130,1889602271,43.0250251,-76.1353841,1,138.6259468,9,1
130,682702359,43.0462257,-76.2424025,1,136.5596885,5,1
130,13604030,43.0518137,-76.2137608,1,130.5035611,5,1
130,951385586,43.0803738,-76.1726306,1,129.0588537,4,1
130,443686144,43.0382688,-76.1119794,1,135.4959507,7,1
140,370062934,43.0373392,-76.1116578,1,136.6002137,7,1
140,1331543236,43.0439568,-76.252416,1,139.8640533,2,1
140,213321107,43.0783155,-76.1584243,1,131.1546133,4,1
140,1034505184,43.047628,-76.1329825,1,96.64727528,6,1
140,1930177697,43.0200807,-76.137813,1,138.5854755,8,1
140,682702359,43.0462257,-76.2401933,1,135.8364512,5,1
140,1781424611,43.0510549,-76.2408401,1,132.9951287,5,1
150,1473795411,43.0797856,-76.1738564,1,158.7225127,-1,1
150,379177510,43.0636378,-76.1894849,1,131.5381389,4,1
150,1335964659,43.0374314,-76.1138728,1,135.168912,6,1
150,951385586,43.0803738,-76.1682098,1,129.0588537,4,1
150,1902004871,43.0268512,-76.0453809,1,131.3174759,1,1
150,1781424611,43.0510549,-76.2386308,1,131.8039422,5,1
150,1967225072,43.037327,-76.1342705,1,154.6366999,-1,1
150,370062934,43.036043,-76.1114369,1,136.8738126,7,1
160,1457913269,43.0773111,-76.1703278,1,158.2754502,-1,1
160,973356540,43.0750263,-76.1635987,1,139.5881882,3,1
160,829744799,43.0193137,-76.1226005,1,128.3544208,9,1
160,1473795411,43.0797856,-76.171646,1,158.5184664,-1,1
160,443686144,43.0345422,-76.1106541,1,136.9331095,9,1
160,1967225072,43.037327,-76.1364793,1,126.7050529,6,1
160,1032934861,43.0826675,-76.1719731,1,158.4266029,-1,1
160,370062934,43.0344227,-76.1114369,1,136.9331095,9,1
170,769093765,43.0622104,-76.1348584,1,129.0588537,3,1
170,682702359,43.0462257,-76.2335659,1,134.0946495,5,1
170,1473795411,43.0797856,-76.1694357,1,158.3124477,-1,1
170,379177510,43.0603973,-76.1894849,1,132.8700224,4,1
170,13604030,43.0518137,-76.2049235,1,135.4959507,5,1
170,1781424611,43.0510549,-76.2342122,1,129.5777175,5,1
170,572630044,43.078359,-76.1604164,1,129.8635744,4,1
170,829744799,43.0176934,-76.1226005,1,127.9415915,9,1
170,1902004871,43.0268512,-76.0497978,1,130.2095423,1,1
180,1889602271,43.0169238,-76.1353841,1,136.0703174,8,1
180,769093765,43.0638307,-76.1348584,1,126.7050529,3,1
180,1902004871,43.0268512,-76.0520063,1,130.0655759,1,1
180,1818629112,43.0366397,-76.1312863,1,126.8910801,6,1
180,1032934861,43.0826675,-76.1675522,1,126.8910801,4,1
180,1335964659,43.0361351,-76.1092343,1,136.4305208,7,1
180,1457913269,43.0773111,-76.1659073,1,125.9484709,4,1
180,213321107,43.0783155,-76.1495831,1,131.5381389,3,1
180,1853993402,43.0793913,-76.1518872,1,133.3720402,3,1
190,1457913269,43.0773111,-76.1636971,1,127.0183296,4,1
190,1533938277,43.0795471,-76.1772114,1,159.023919,-1,1
190,1335964659,43.0345149,-76.1092343,1,136.9331095,9,1
190,1902004871,43.0268512,-76.0542147,1,130.2095423,1,1
190,1889602271,43.0153035,-76.1353841,1,134.7870314,8,1
190,572630044,43.078359,-76.1559958,1,132.4502897,4,1
190,13604030,43.0518137,-76.2005048,1,137.6430769,5,1
190,1452181223,43.0755366,-76.1797079,1,124.6822288,4,1
190,973356540,43.0750263,-76.1569682,1,136.3138541,3,1
190,540379719,43.0809451,-76.1479694,1,131.3174759,3,1
200,1331543236,43.0439568,-76.2391616,1,136.4305208,2,1
200,650587616,43.0509598,-76.1255309,1,123.0907171,6,1
200,276977300,43.0807836,-76.1623767,1,139.4317648,3,1
200,1902004871,43.0268512,-76.0564231,1,130.0655759,1,1
200,540379719,43.0809451,-76.1457591,1,129.5777175,3,1
200,213321107,43.0783155,-76.1451625,1,127.6097133,3,1
200,1473795411,43.0797855,-76.1628047,1,139.4317648,3,1
200,572630044,43.078359,-76.1537855,1,133.7131287,4,1
200,1034505184,43.0573496,-76.1329825,1,127.8890558,6,1
200,642272075,43.0508822,-76.253628,1,138.8378024,5,1
200,224296313,43.0528278,-76.1847624,1,135.4959507,4,1
210,370062934,43.0263214,-76.1114369,1,129.0588537,9,1
210,650587616,43.0509598,-76.1233216,1,125.9484709,6,1
210,1452181223,43.0755366,-76.1752876,1,122.1237135,4,1
210,829744799,43.0112123,-76.1226005,1,128.3544208,9,1
210,624147607,43.0175644,-76.1322095,1,135.6926436,9,1
210,631786336,43.0383038,-76.1317291,1,154.82786,-1,1
210,1853993402,43.0793913,-76.1452562,1,128.0979394,3,1
210,1623172271,43.0648576,-76.1936978,1,134.3776325,4,1
210,1299031912,43.0443066,-76.2579291,1,164.523181,-1,1
210,276977300,43.0807836,-76.1601664,1,131.4081993,4,1
210,224296313,43.0512075,-76.1847624,1,136.6002137,4,1
210,1967225072,43.037327,-76.1475234,1,130.5035611,6,1
220,1032934861,43.0826675,-76.1587105,1,131.1546133,4,1
220,1331543236,43.0439568,-76.2347435,1,135.6274087,5,1
220,1473795411,43.0797855,-76.158384,1,137.3853207,3,1
220,650587616,43.0509598,-76.1211122,1,128.3544208,6,1
220,443686144,43.0248206,-76.1106541,1,126.7050529,9,1
