TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level,Flag
2,1799210656,43.0379073,-76.1332888,100000.0,8,1,-1,1,-1
3,1799210656,43.0378311,-76.1334838,100000.0,8,1,-1,1,-1
3,749095408,43.0380468,-76.1343085,100000.0,8,1,-1,1,-1
4,1799210656,43.0377549,-76.1336787,100000.0,8,1,-1,1,-1
4,749095408,43.0378847,-76.1343068,100000.0,8,1,-1,1,-1
5,749095408,43.0377227,-76.1343052,100000.0,8,1,-1,1,-1
5,1799210656,43.0376786,-76.1338735,100000.0,8,1,-1,1,-1
6,677549427,43.0812860,-76.1832996,999.0,-1,1,-1,1,-1
6,749095408,43.0375607,-76.1343035,100000.0,8,1,-1,1,-1
6,1799210656,43.0376022,-76.1340683,100000.0,8,1,-1,1,-1
7,1799210656,43.0375258,-76.1342631,100000.0,8,1,-1,1,-1
7,749095408,43.0373987,-76.1343019,100000.0,8,1,-1,1,-1
7,677549427,43.0811257,-76.1833313,999.0,-1,1,-1,1,-1
8,749095408,43.0372367,-76.1343002,100000.0,8,1,-1,1,-1
8,1799210656,43.0374493,-76.1344579,100000.0,8,1,-1,1,-1
8,677549427,43.0809653,-76.1833630,999.0,-1,1,-1,1,-1
8,685259565,43.0374559,-76.1301824,100000.0,8,1,-1,1,-1
9,685259565,43.0372940,-76.1301928,100000.0,8,1,-1,1,-1
9,1799210656,43.0373728,-76.1346526,100000.0,8,1,-1,1,-1
9,677549427,43.0808050,-76.1833947,999.0,-1,1,-1,1,-1
9,749095408,43.0370746,-76.1342986,100000.0,8,1,-1,1,-1
10,749095408,43.0369126,-76.1342969,100000.0,8,1,-1,1,-1
10,677549427,43.0806446,-76.1834264,999.0,-1,1,-1,1,-1
10,685259565,43.0371322,-76.1302032,100000.0,8,1,-1,1,-1
10,1799210656,43.0372963,-76.1348472,100000.0,8,1,-1,1,-1
11,677549427,43.0804843,-76.1834580,999.0,-1,1,-1,1,-1
11,749095408,43.0367506,-76.1342953,100000.0,8,1,-1,1,-1
11,1637870196,43.0791328,-76.1755170,100000.0,15,1,-1,1,-1
11,150447161,43.0376179,-76.1326664,100000.0,8,1,-1,1,-1
11,685259565,43.0369703,-76.1302136,100000.0,8,1,-1,1,-1
11,1799210656,43.0372196,-76.1350418,100000.0,8,1,-1,1,-1
12,1799210656,43.0371430,-76.1352364,100000.0,8,1,-1,1,-1
12,150447161,43.0375149,-76.1324959,100000.0,8,1,-1,1,-1
12,685259565,43.0368085,-76.1302240,100000.0,8,1,-1,1,-1
12,677549427,43.0803239,-76.1834896,999.0,-1,1,-1,1,-1
12,749095408,43.0365886,-76.1342936,100000.0,8,1,-1,1,-1
12,1637870196,43.0790240,-76.1753531,100000.0,15,1,-1,1,-1
13,749095408,43.0364265,-76.1342920,100000.0,8,1,-1,1,-1
13,677549427,43.0801636,-76.1835212,999.0,-1,1,-1,1,-1
13,1799210656,43.0370662,-76.1354310,100000.0,8,1,-1,1,-1
13,150447161,43.0374118,-76.1323255,100000.0,8,1,-1,1,-1
13,1637870196,43.0789153,-76.1751893,100000.0,15,1,-1,1,-1
13,685259565,43.0366467,-76.1302343,100000.0,8,1,-1,1,-1
14,677549427,43.0800032,-76.1835527,999.0,-1,1,-1,1,-1
14,1799210656,43.0369894,-76.1356255,100000.0,8,1,-1,1,-1
14,685259565,43.0364848,-76.1302446,100000.0,8,1,-1,1,-1
14,1637870196,43.0788064,-76.1750255,100000.0,15,1,-1,1,-1
14,749095408,43.0362645,-76.1342903,100000.0,8,1,-1,1,-1
14,150447161,43.0373086,-76.1321553,100000.0,8,1,-1,1,-1
15,685259565,43.0363230,-76.1302550,100000.0,8,1,-1,1,-1
15,150447161,43.0372052,-76.1319852,100000.0,8,1,-1,1,-1
15,1799210656,43.0369126,-76.1358199,100000.0,8,1,-1,1,-1
15,677549427,43.0798428,-76.1835842,999.0,-1,1,-1,1,-1
15,749095408,43.0361025,-76.1342887,100000.0,8,1,-1,1,-1
15,1637870196,43.0786976,-76.1748618,100000.0,15,1,-1,1,-1
16,677549427,43.0796825,-76.1836157,999.0,-1,1,-1,1,-1
16,685259565,43.0361611,-76.1302653,100000.0,8,1,-1,1,-1
16,150447161,43.0371016,-76.1318153,100000.0,8,1,-1,1,-1
16,1637870196,43.0785887,-76.1746981,100000.0,15,1,-1,1,-1
16,1799210656,43.0368357,-76.1360143,100000.0,8,1,-1,1,-1
16,749095408,43.0359405,-76.1342871,100000.0,8,1,-1,1,-1
17,1637870196,43.0784798,-76.1745345,100000.0,15,1,-1,1,-1
17,677549427,43.0795221,-76.1836472,999.0,-1,1,-1,1,-1
17,749095408,43.0357785,-76.1342854,100000.0,8,1,-1,1,-1
17,150447161,43.0369980,-76.1316456,100000.0,8,1,-1,1,-1
17,1086262905,43.0373615,-76.1327645,100000.0,8,1,-1,1,-1
17,685259565,43.0359993,-76.1302755,100000.0,8,1,-1,1,-1
17,1799210656,43.0367587,-76.1362087,100000.0,8,1,-1,1,-1
18,1086262905,43.0372622,-76.1325901,100000.0,8,1,-1,1,-1
18,685259565,43.0358374,-76.1302858,100000.0,8,1,-1,1,-1
18,1637870196,43.0783708,-76.1743710,100000.0,15,1,-1,1,-1
18,150447161,43.0368942,-76.1314759,100000.0,8,1,-1,1,-1
18,749095408,43.0356164,-76.1342838,100000.0,8,1,-1,1,-1
18,1799210656,43.0366817,-76.1364031,100000.0,8,1,-1,1,-1
18,677549427,43.0793617,-76.1836787,999.0,-1,1,-1,1,-1
19,685259565,43.0356756,-76.1302960,100000.0,8,1,-1,1,-1
19,150447161,43.0367903,-76.1313065,100000.0,8,1,-1,1,-1
19,1799210656,43.0366047,-76.1365974,100000.0,8,1,-1,1,-1
19,677549427,43.0792013,-76.1837101,999.0,-1,1,-1,1,-1
19,1637870196,43.0782618,-76.1742075,100000.0,15,1,-1,1,-1
19,476874687,43.0380209,-76.1314913,100000.0,43,1,-1,1,-1
19,1086262905,43.0371627,-76.1324157,100000.0,8,1,-1,1,-1
19,749095408,43.0354544,-76.1342822,100000.0,8,1,-1,1,-1
20,476874687,43.0379141,-76.1313251,100000.0,43,1,-1,1,-1
20,1086262905,43.0370630,-76.1322415,100000.0,8,1,-1,1,-1
20,150447161,43.0366862,-76.1311372,100000.0,8,1,-1,1,-1
20,677549427,43.0790409,-76.1837415,999.0,-1,1,-1,1,-1
20,685259565,43.0355137,-76.1303063,100000.0,8,1,-1,1,-1
20,1799210656,43.0365276,-76.1367916,100000.0,8,1,-1,1,-1
20,1637870196,43.0781527,-76.1740440,100000.0,15,1,-1,1,-1
20,749095408,43.0352924,-76.1342806,100000.0,8,1,-1,1,-1
20,1766167445,43.0376127,-76.1311402,100000.0,8,2,1,1,1
21,1637870196,43.0780436,-76.1738806,100000.0,15,1,-1,1,-1
21,1766167445,43.0377579,-76.1308986,100000.0,8,2,1,1,1
21,685259565,43.0353518,-76.1303165,100000.0,8,1,-1,1,-1
21,476874687,43.0378775,-76.1310849,100000.0,43,2,1,1,1
21,1799210656,43.0364504,-76.1369858,100000.0,8,1,-1,1,-1
21,150447161,43.0365820,-76.1309680,100000.0,8,1,-1,1,-1
21,749095408,43.0351304,-76.1342790,100000.0,8,1,-1,1,-1
21,1086262905,43.0369633,-76.1320675,100000.0,8,1,-1,1,-1
21,677549427,43.0788806,-76.1837729,999.0,-1,1,-1,1,-1
22,1766167445,43.0379032,-76.1306570,100000.0,8,2,1,1,1
22,677549427,43.0787202,-76.1838042,999.0,-1,1,-1,1,-1
22,150447161,43.0364777,-76.1307990,100000.0,8,1,-1,1,-1
22,1637870196,43.0779345,-76.1737172,100000.0,15,1,-1,1,-1
22,1086262905,43.0368634,-76.1318936,100000.0,8,1,-1,1,-1
22,685259565,43.0351900,-76.1303267,100000.0,8,1,-1,1,-1
22,749095408,43.0349684,-76.1342774,100000.0,8,1,-1,1,-1
22,476874687,43.0378406,-76.1308448,100000.0,43,2,1,1,1
22,1799210656,43.0363732,-76.1371800,100000.0,8,1,-1,1,-1
23,150447161,43.0363732,-76.1306302,100000.0,8,1,-1,1,-1
23,476874687,43.0377325,-76.1306802,100000.0,43,1,-1,1,-1
23,1086262905,43.0367634,-76.1317198,100000.0,8,1,-1,1,-1
23,1799210656,43.0362959,-76.1373741,100000.0,8,1,-1,1,-1
23,749095408,43.0348063,-76.1342757,100000.0,8,1,-1,1,-1
23,677549427,43.0785598,-76.1838356,999.0,-1,1,-1,1,-1
