TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level
1,1692686749,43.0378482,-76.13182,100000,13,1,-1,4
2,1692686749,43.0377391,-76.1316568,100000,13,1,-1,4
2,1372665589,43.0781548,-76.1823185,999,-1,1,-1,4
3,1692686749,43.0376298,-76.1314937,100000,13,1,-1,4
3,1372665589,43.0779929,-76.1823233,999,-1,1,-1,4
4,1372665589,43.0778309,-76.1823282,999,-1,1,-1,4
4,1582409757,43.0511306,-76.2448625,999,-1,1,-1,4
4,1692686749,43.0375204,-76.1313307,100000,13,1,-1,4
5,1692686749,43.0374109,-76.1311679,100000,13,1,-1,4
5,1582409757,43.051095,-76.244647,999,-1,1,-1,4
5,1372665589,43.0776689,-76.182333,999,-1,1,-1,4
6,1582409757,43.0510594,-76.2444314,999,-1,1,-1,4
6,1372665589,43.0775069,-76.1823378,999,-1,1,-1,4
6,1692686749,43.0373013,-76.1310053,100000,13,1,-1,4
7,1372665589,43.0773449,-76.1823426,999,-1,1,-1,4
7,1692686749,43.0371915,-76.1308429,100000,13,1,-1,4
7,1582409757,43.0510238,-76.2442159,999,-1,1,-1,4
8,1692686749,43.0370816,-76.1306806,100000,13,1,-1,4
8,1372665589,43.0771829,-76.1823475,999,-1,1,-1,4
8,1582409757,43.0509882,-76.2440004,999,-1,1,-1,4
9,1372665589,43.0770209,-76.1823523,999,-1,1,-1,4
9,1582409757,43.0509526,-76.2437848,999,-1,1,-1,4
9,1692686749,43.0369715,-76.1305185,100000,13,1,-1,4
9,1403992886,43.0319068,-76.0477849,100000,43,1,-1,4
10,1582409757,43.0509169,-76.2435693,999,-1,1,-1,4
10,1692686749,43.0368614,-76.1303565,100000,13,1,-1,4
10,1021262212,43.0370337,-76.1348289,100000,41,1,-1,4
10,1403992886,43.0318788,-76.0480024,100000,43,1,-1,4
10,1372665589,43.076859,-76.1823571,999,-1,1,-1,4
11,1692686749,43.036751,-76.1301947,100000,13,1,-1,4
11,1372665589,43.076697,-76.1823619,999,-1,1,-1,4
11,1582409757,43.0508813,-76.2433538,999,-1,1,-1,4
11,1021262212,43.0369309,-76.1346582,100000,41,1,-1,4
11,1403992886,43.0318508,-76.04822,100000,43,1,-1,4
12,1021262212,43.036828,-76.1344876,100000,41,1,-1,4
12,944723275,43.0368185,-76.1337223,100000,41,2,1,4
12,311671460,43.0802837,-76.1734551,100000,1,1,-1,4
12,1582409757,43.0508456,-76.2431383,999,-1,1,-1,4
12,1692686749,43.0366406,-76.1300331,100000,13,1,-1,4
12,1403992886,43.0318228,-76.0484375,100000,43,1,-1,4
12,1372665589,43.076535,-76.1823667,999,-1,1,-1,4
13,1692686749,43.03653,-76.1298717,100000,13,1,-1,4
13,1021262212,43.0367944,-76.1342466,100000,41,2,1,4
13,1403992886,43.0317948,-76.048655,100000,43,1,-1,4
13,944723275,43.0366822,-76.1339657,100000,41,2,1,4
