TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished
10,527523866,43.036118,-76.0265416,2,138.6259468,6,1
20,965563659,43.0352414,-76.1334297,2,129.0227127,5,1
30,1583021411,43.035168,-76.1295636,2,129.4148549,5,1
30,480630685,43.0375245,-76.1327772,2,125.2745506,5,1
40,1375855927,43.0832287,-76.1716654,2,125.5766359,9,1
40,527523866,43.036118,-76.0331679,2,135.0782763,6,1
50,527523866,43.036118,-76.0353766,2,133.6456216,6,1
50,196006772,43.0824633,-76.1661629,2,127.1999678,9,1
60,1375855927,43.0832287,-76.1672445,2,125.5766359,9,1
60,965563659,43.0287604,-76.1334297,2,135.6781752,5,1
60,1583021411,43.0303072,-76.1295636,2,134.4811946,5,1
70,527523866,43.036118,-76.0397942,2,130.2095423,6,1
70,127681471,43.0384243,-76.1362831,2,123.8301402,5,1
70,1583021411,43.028687,-76.1295636,2,135.8221416,5,1
70,1365847710,43.0780655,-76.1727043,2,126.7050529,9,1
80,1714434747,43.0455642,-76.2281669,2,133.9052856,7,1
80,527523866,43.036118,-76.042003,2,128.0979394,6,1
80,127681471,43.0400446,-76.1362831,2,120.1596198,5,1
90,127681471,43.0416648,-76.1362831,2,115.1012173,5,1
90,1583021411,43.0254465,-76.1295636,2,136.3688862,3,1
90,950115756,43.0496116,-76.2187975,2,129.0227127,7,1
90,1845904711,43.0816045,-76.1761842,2,128.0979394,9,1
90,758258298,43.0377633,-76.1433129,2,127.0183296,5,1
100,521768972,43.0335454,-76.1330151,2,131.0311164,5,1
100,977305415,43.0830253,-76.1724907,2,125.3387321,9,1
100,196006772,43.0824633,-76.1551107,2,133.0925907,9,1
100,527523866,43.036118,-76.0464205,2,122.507239,6,1
110,521768972,43.0319251,-76.1330151,2,132.7708748,5,1
110,607915162,43.0463864,-76.2297854,2,133.620216,7,1
110,127681471,43.0449053,-76.1362831,2,96.64727528,5,1
110,2004251105,43.0776756,-76.1796039,2,127.0183296,9,1
110,527523866,43.036118,-76.0486293,2,118.5653608,6,1
120,2027674814,43.0776982,-76.1746346,2,125.3387321,9,1
120,527523866,43.036118,-76.0508381,2,113.3363503,6,1
120,1363401731,43.0391376,-76.1329666,2,123.7399749,5,1
120,950115756,43.0496116,-76.2121697,2,130.4712181,7,1
120,1714434747,43.0455642,-76.2193305,2,133.5607429,7,1
120,1546479712,43.051288,-76.2200032,2,126.7050529,7,1
130,1583021411,43.0189654,-76.1295636,2,134.4811946,3,1
130,2027674814,43.0776982,-76.1724244,2,125.3387321,9,1
130,527523866,43.036118,-76.0530468,2,107.1158817,6,1
130,1365430366,43.0364759,-76.1301695,2,127.1999678,5,1
130,758258298,43.0377633,-76.1521482,2,132.616147,5,1
140,127681471,43.0497661,-76.1362831,2,107.1158817,5,1
140,521768972,43.0270644,-76.1330151,2,136.9199557,5,1
140,527523866,43.036118,-76.0552556,2,107.1158817,6,1
140,1009689797,43.0363462,-76.1324924,2,127.9415915,5,1
140,1714434747,43.0455642,-76.2149122,2,133.9052856,7,1
140,1363401731,43.0423781,-76.1329666,2,114.709075,5,1
140,758258298,43.0377633,-76.1543571,2,133.9301418,5,1
150,527523866,43.036118,-76.0574644,2,107.1158817,6,1
150,127681471,43.0513863,-76.1362831,2,115.1012173,5,1
150,1845904711,43.0816045,-76.1629218,2,129.5777175,9,1
150,965563659,43.0188768,-76.1272468,2,132.9951287,3,1
150,346689304,43.0769269,-76.179622,2,125.8872307,9,1
150,521768972,43.0254441,-76.1330151,2,137.8897257,3,1
150,1104686757,43.027176,-76.130259,2,137.0378645,3,1
160,480630685,43.0164611,-76.1327772,2,135.8221416,2,1
160,1374580125,43.0282899,-76.1297069,2,135.8221416,5,1
160,521768972,43.0238238,-76.1330151,2,137.4106933,3,1
160,127681471,43.0530066,-76.1362831,2,120.1596198,5,1
160,2004251105,43.0776756,-76.1906553,2,133.9301418,9,1
160,1104686757,43.0255557,-76.130259,2,136.3688862,3,1
160,196006772,43.0824633,-76.141848,2,123.8301402,8,1
170,83806683,43.0366801,-76.1317114,2,126.7050529,5,1
170,1714434747,43.0455642,-76.2082849,2,135.4959507,7,1
170,1546479712,43.051288,-76.2089566,2,130.5035611,7,1
170,127681471,43.0546269,-76.1362831,2,123.8301402,5,1
170,2004251105,43.0776756,-76.1928655,2,135.168912,9,1
170,1009689797,43.0314854,-76.1324924,2,133.577763,5,1
170,521768972,43.0222036,-76.1330151,2,136.99868,3,1
170,2027674814,43.0776982,-76.1635833,2,127.0183296,9,1
170,1104686757,43.0239355,-76.130259,2,135.7575535,3,1
180,2004251105,43.0776756,-76.1950758,2,136.327634,9,1
180,127681471,43.0562471,-76.1362831,2,126.7050529,5,1
180,2027674814,43.0776982,-76.161373,2,128.3544208,9,1
180,1104686757,43.0223152,-76.130259,2,135.2214932,3,1
180,1583021411,43.0108641,-76.1295636,2,130.0655759,2,1
180,346689304,43.0769269,-76.1729913,2,123.8301402,9,1
180,965563659,43.0188768,-76.1206224,2,127.1999678,3,1
180,1093235089,43.0340553,-76.1318233,2,130.0989404,5,1
190,2004251105,43.0776756,-76.197286,2,137.4106933,9,1
190,1895249522,43.077332,-76.1756569,2,125.5766359,9,1
190,1093235089,43.032435,-76.1318233,2,131.9493007,5,1
190,1910909290,43.0376848,-76.1228519,2,129.7841646,5,1
190,196006772,43.0824633,-76.1352167,2,115.1012173,8,1
190,21282215,43.0801487,-76.1810308,2,130.9273004,9,1
190,758258298,43.0397076,-76.1625298,2,138.0716956,5,1
190,1583021411,43.0092438,-76.1295636,2,127.8890558,2,1
190,1393411335,43.0359648,-76.0602514,2,110.1650115,6,1
200,127681471,43.0594876,-76.1362831,2,131.0621005,5,1
200,758258298,43.0413279,-76.1625298,2,137.7977787,5,1
200,96435441,43.0829356,-76.17453,2,125.3387321,9,1
200,358564461,43.0785704,-76.1685305,2,126.7050529,9,1
200,2061006145,43.0370776,-76.1376593,2,126.6472753,5,1
200,2004251105,43.0776755,-76.1994963,2,138.4223216,9,1
200,965563659,43.0188768,-76.116206,2,121.4295194,3,1
200,1375855927,43.0832287,-76.136298,2,113.3363503,8,1
200,1104686757,43.0203709,-76.1287133,2,134.0946495,3,1
200,521768972,43.0202593,-76.1292612,2,134.6153916,3,1
210,977305415,43.0830253,-76.1481757,2,130.3954374,8,1
210,1845904711,43.0816045,-76.1496593,2,131.8039422,8,1
210,1093235089,43.0291945,-76.1318233,2,135.0251128,5,1
210,1104686757,43.0203709,-76.1265051,2,132.616147,3,1
210,83806683,43.030199,-76.1317114,2,134.3215255,5,1
210,758258298,43.0429481,-76.1625298,2,137.6056735,5,1
210,1393411335,43.0359648,-76.0646689,2,120.673368,6,1
210,830561927,43.0374857,-76.1324177,2,125.2745506,5,1
210,536065248,43.0350753,-76.1324357,2,129.0588537,5,1
210,346689304,43.0769269,-76.1663605,2,124.5808366,9,1
220,1546479712,43.051288,-76.1979101,2,136.6002137,7,1
220,1104686757,43.0203709,-76.1242969,2,130.9585321,3,1
220,521768972,43.0202593,-76.1248448,2,131.5381389,3,1
220,480630685,43.0067395,-76.1327772,2,124.5808366,2,1
220,358564461,43.0785704,-76.1641099,2,128.0979394,9,1
220,1375855927,43.0814464,-76.1345296,2,117.6163754,8,1
220,1374580125,43.0188924,-76.129486,2,134.4811946,3,1
220,1895249522,43.077332,-76.1690261,2,125.2745506,9,1
220,1378022191,43.0809118,-76.1720787,2,129.1905197,9,1
220,830561927,43.0374857,-76.1302089,2,125.5766359,5,1
220,1451120074,43.0492624,-76.2292945,2,130.9585321,7,1
230,1546479712,43.051288,-76.1957007,2,137.6430769,7,1
230,1393411335,43.0359648,-76.0690864,2,126.8910801,6,1
230,396589894,43.0348646,-76.1290122,2,129.7042679,5,1
230,480630685,43.0051193,-76.1327772,2,121.4295194,2,1
230,1365847710,43.0780654,-76.1373398,2,117.6163754,8,1
230,521768972,43.0202592,-76.1226366,2,129.7042679,3,1
230,1771262140,43.0792823,-76.1768576,2,128.3544208,9,1
230,607915162,43.0463864,-76.2032757,2,136.4714491,7,1
230,1374580125,43.0188924,-76.1272779,2,132.9951287,3,1
230,1714434747,43.0483186,-76.1990066,2,137.3853207,7,1
230,649641739,43.0499324,-76.2391835,2,134.6153916,7,1
240,21282215,43.0801487,-76.169979,2,129.0588537,9,1
240,1393411335,43.0359648,-76.0712952,2,129.1905197,6,1
240,1771262140,43.0792822,-76.1746473,2,127.9415915,9,1
240,1417286734,43.0284958,-76.131506,2,135.6926436,5,1
240,1363401731,43.0585807,-76.1329666,2,129.0227127,5,1
240,358564461,43.0785704,-76.1596893,2,130.5035611,9,1
240,1378022191,43.0809118,-76.167658,2,129.1905197,9,1
240,1381845270,43.0519515,-76.2330203,2,129.7841646,7,1
240,127681471,43.0604598,-76.1435749,2,132.616147,5,1
240,2004251105,43.0765414,-76.2065692,2,136.1891753,7,1
240,1104686757,43.0203709,-76.1198805,2,127.0183296,3,1
240,1910909290,43.0376848,-76.1118077,2,136.0562626,0,1
250,96435441,43.0829356,-76.1634777,2,127.0183296,9,1
250,1771262140,43.0792822,-76.1724369,2,127.9415915,9,1
250,1093235089,43.0227135,-76.1318233,2,136.6406132,3,1
250,649641739,43.0499324,-76.234765,2,132.4502897,7,1
250,521768972,43.0202592,-76.1182202,2,125.1776815,3,1
250,1104686757,43.0203709,-76.1176723,2,124.6822288,3,1
