TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level
1,648312940,43.036927,-76.1145411,100000,40,1,-1,1
1,1225275393,43.032927,-76.1145411,100000,40,1,-1,1
2,648312940,43.036927,-76.1146522,100000,40,1,-1,1
2,1225275393,43.032927,-76.1146522,100000,40,1,-1,1
3,648312940,43.036927,-76.1147633,100000,40,1,-1,1
3,1225275393,43.032927,-76.1147633,100000,40,1,-1,1
3,980082749,43.0776662,-76.1808012,999,-1,1,-1,1
4,648312940,43.036927,-76.1148744,100000,40,1,-1,1
4,1225275393,43.032927,-76.1148744,100000,40,1,-1,1
4,980082749,43.0775336,-76.1806742,999,-1,1,-1,1
5,648312940,43.036927,-76.1149856,100000,40,1,-1,1
5,1238008230,43.0375338,-76.131567,100000,8,1,-1,1
5,980082749,43.077401,-76.1805472,999,-1,1,-1,1
5,1225275393,43.032927,-76.1149856,100000,40,1,-1,1
6,1238008230,43.0373725,-76.1315877,100000,8,1,-1,1
6,1225275393,43.032927,-76.1150967,100000,40,1,-1,1
6,648312940,43.036927,-76.1150967,100000,40,1,-1,1
6,980082749,43.0772684,-76.1804202,999,-1,1,-1,1
7,1225275393,43.032927,-76.1152078,100000,40,1,-1,1
7,980082749,43.0771357,-76.1802933,999,-1,1,-1,1
7,1272770161,43.0772272,-76.1832212,999,-1,1,-1,1
7,1238008230,43.0372112,-76.1316085,100000,8,1,-1,1
7,648312940,43.036927,-76.1152078,100000,40,1,-1,1
8,1919627100,43.0812406,-76.1874741,999,-1,1,-1,1
8,1272770161,43.0770981,-76.1830878,999,-1,1,-1,1
8,980082749,43.077003,-76.1801665,999,-1,1,-1,1
8,1238008230,43.0370499,-76.1316291,100000,8,1,-1,1
8,1225275393,43.032927,-76.1153189,100000,40,1,-1,1
8,648312940,43.036927,-76.1153189,100000,40,1,-1,1
9,1729298847,43.0368878,-76.1322023,100000,8,1,-1,1
9,980082749,43.0768703,-76.1800397,999,-1,1,-1,1
9,1225275393,43.032927,-76.11543,100000,40,1,-1,1
9,1238008230,43.0368885,-76.1316498,100000,8,1,-1,1
