TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level,Flag
49,610567516,43.0374168,-76.129697,100000,43,2,1,2,2
50,610567516,43.0373786,-76.1294578,100000,43,2,1,2,2
75,1395628267,43.0344347,-76.1279051,100000,43,2,1,2,2
76,1629689259,43.033669,-76.1275422,100000,43,2,1,2,2
167,898134876,43.0370696,-76.1302296,100000,8,2,1,2,2
187,898134876,43.0347954,-76.1271093,100000,43,2,1,2,2
188,1325183645,43.0352974,-76.128115,100000,43,2,1,2,2
189,1325183645,43.0351534,-76.1279188,100000,43,2,1,2,2
190,1165417602,43.033876,-76.1251658,100000,43,2,1,2,2
190,898134876,43.0345122,-76.1265813,100000,43,2,1,2,2
190,1325183645,43.0350081,-76.1277131,100000,43,2,1,2,2
191,314090718,43.0328939,-76.1258749,100000,43,2,1,2,2
191,898134876,43.0344676,-76.1263549,100000,43,2,1,2,2
191,1325183645,43.0348633,-76.1275283,100000,43,2,1,2,2
192,1325183645,43.0348305,-76.1273311,100000,43,2,1,2,2
192,898134876,43.0344224,-76.1261267,100000,43,2,1,2,2
193,1165417602,43.0336293,-76.1245919,100000,43,2,1,2,2
193,898134876,43.0343761,-76.1258989,100000,43,2,1,2,2
193,1325183645,43.034685,-76.1271466,100000,43,2,1,2,2
328,989612327,43.0750333,-76.1434771,100000,43,2,1,1,2
329,989612327,43.0749095,-76.143232,100000,43,2,1,1,2
